Date,Headline,Source,URL
2026-09-02,"TCS Bags Best Buy’s India GCC Operations in Reported Rs.2,000 Crore Deal - analyticsinsight.net",analyticsinsight.net,https://news.google.com/rss/articles/CBMiqwFBVV95cUxORnEyZWN5dm5qWHJhalUtbWRvVHI1RkU3cFc4d0hGQ2ZvdVY2SE1TUnYtVDR4SmRGOFM0VFFoYzlmUnBDRmd2dmV3NE9iMmZ2Vm1WTWp1Mzl4SGJuOUFoa3ZqbVlKbVAtcUMyR19XNHBkSnhhSjg0QklYa3BCckJhWThxbV9ocmhzUmpuMXJzSnJ0cFctQmM1NXlTdkxrVFAtcTVwbkwwcFd0aFHSAbgBQVVfeXFMTVo4bWFvcDdFRm1STTB4NTlYazZIN1U1Z2xNeTM2dEFJMTdUNzhPcTI2eERkVXIyalUzOC05Nm9hdzBycUpQNzFES1NMTS1VLTRFRWxuSGIwUURrVE01X09wXzdqekd3Y2hyOUJKSl9fOHB0M0FRcHhMMEdLVl9TcXNETVROc1Q4MjRGQm9Nbm1iTWplUE5lRjJ6QnVRSFJVOXd1Z1duWXloSk1Vb2NoNG1kQ0x1djVYQQ?oc=5
2026-08-17,TCS launches agentic AI platform for drug development - The New Indian Express,The New Indian Express,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOX05vTHRSQVRrdmY1blV6a1BRajlYOFBvbzBGOC1fVHNnaHFPSjFsQ0JqX1JxX3EtTTZldG1yQmdFUWRsLWJ0SXh4TDl6Z3oyZWJ1bDJMTWFLNTZQb0J1RzZaYTdHZ2w1RHYtZ28tRXBDVm9lR3luRExLV1BJR1I4WmxQMG9Nd3MxM1NHNlFGWm5adnFHQzh1cEdQcTNPZVVnWDM5SlFfZWw3SE3SAbgBQVVfeXFMTW1TMS14dlBiaVF3YUxlblpqMDBSdlljOXAxUUxLTlE2eEpkRmVleFB1d1liLUZCYnlIc0JLOFExbTZGQ3BheGNKSTJsVUMwaDR5R3RlcjMyV3N1dFNwZm5uemJpZktmcEl2b3JOWGZjUEQ3Y0FZdjhCcHZ4Yl82UFhRVGRLZGs3WGhEWng2SnUtbjUxT2N0MlpRR2YzVXU5UlJGelJscWp3cEc2UjgzMExiU3NqTW5HRg?oc=5
2026-09-01,"TCS Q4 Results: Beats Estimates! CC Growth Highest In 7 Quarters, Margins Upbeat; PAT Up 29% QoQ—Full Report - Goodreturns",Goodreturns,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNNTd4LXdSX2ppcnBkaWZTNlFLM1pJcmU4eEVIaTJ4ZWs4OF9FeTlIbEdvRjZSa21jUmJkQm4wS01HM1dWLW9mOFdLNHFGOUN6a25yVVhhbjVuRDByLVZtSDFkdWoyUFZiWWh6Z09MTUhPb1FfUFd0eGtPSFAzQ3g1X2xlNzNMMFYzRlFxYi1wajZhQXF4cnV0VUdLbk5xVkhaQklvMGhSQW1neEhXc3RIMy1obFpfaDBBVjVXcGIzVTlpWWhuRzJZTWlsMjdmUkZOYUJaYmg0bFZCQUtO?oc=5
2026-06-08,TCS wins multimillion-euro AI powered services transformation deal with Canada Life - Tata Consultancy Services,Tata Consultancy Services,https://news.google.com/rss/articles/CBMizAFBVV95cUxON1hrU0pxaWxQUGtqUmdIQU9Ud0JXeFNiTWc2ZUZYNV96WXZEV2c4dlVxZzlQRkR6dlhzMGJ4eHlaSkRqMXRsRGcxVUVLaFFMcW16RG94Y0VfbVBKR1VfWlJQN3ZsZmg0UEFqTmpVR2QyWG0xV2tPMUFYdklsLThydGxiVjNuT3RjMHRvZmdCM2pZU2NhaEloVFlhLUhhb0xKWE81U1cyellOQWxBU3NGVzZzdi01ekgyZ2lzNnZ2S3dfZ0ltREN0WTdKbDM?oc=5
2026-08-31,"Tata OpenAI Collab: Free ChatGPT Access for Employees, Codex Rollout, To AI Data Centres | Key Highlights - Goodreturns",Goodreturns,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNbDMyeTZGTklaVldrbTJONlFHMWw0X21CMlFvd3VrUk9fbEVWRGJHTHFGbnE3SHMzeG9laU5rOTRyU3pIZklEd1pDcWlLamZicDVuTFJFOUcwcXhIQjladTlQdF91UDRDdi1fQW5OcEpLTENmdEpjOVNmVVZWQS15TXpqWU84ZU1UaGcxSlczOWx5XzJDal9qWDd1clRxMGtvdUxmRkNZZl82b09TOXlsYjNiaU9JLW43TFVla3pxSVd3WlZDbThtYUQ2YWY4Y0dYT1lMMWpuaw?oc=5
2026-06-18,TCS ranked No. 1 in Everest Group’s Top 50™ Store Services Providers 2026 report - Tata Consultancy Services,Tata Consultancy Services,https://news.google.com/rss/articles/CBMirAFBVV95cUxQUktwZE1RbGZCajgzVnA2SlUtbndlbHJhQWlSb3JubWtqU3M5Z1lwbUJNWjRkOGtFVGI3X29tWjBDbl9DbFdvN1hGSWNqcEJGMWNRNHNQNTIxN2tVQ2tkeFFldXJzdjA4cjFzTnh5WVM2NVNzQWowbWxrMktuQ0VpdVI5cmZpenJHYkozLXk1SV9uVl9LSWpLNzJsdXhpWVV6a2ZqVlNnOEFCSXpH?oc=5
2026-07-14,TCS Becomes Technology and Innovation Partner to New York’s New Terminal One at JFK Airport - Tata Consultancy Services,Tata Consultancy Services,https://news.google.com/rss/articles/CBMizwFBVV95cUxPZE0zUnBMbnZCV25wcDV3X04xQVg0QmhWVmZuRWRYdndSaXhjV2JmWm5RWUFhSmhsZ0hUTjMxOGVSVWZvdy00bEZOemZld1I0bElqdTVPZ2NFT0dUM1FuODc0ZVlPYXg3REtkOU9hY1JCeXQta2ptZW41T0RVRmNpelQzaFJqUXNnNkdraXM5N0FxUXdOUVIxRUQ1THViQnljZ1E0NVMwVmF3ejgxakxtNTliZkE4ck0zQVJ6X1RxNWJIU3dxVTNSTDkyYjdnWkU?oc=5
2026-02-23,TCS and ServiceNow partner to accelerate large-scale AI adoption for enterprises - Tata Consultancy Services,Tata Consultancy Services,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPbTh6d2pGUzFRRTR6MGJITzFwcmExdGZPUUtXQ0ZCUGFkM3pmTFp4WkhGb2YxcnlyYlQwZWhic1BYZWZkUlVHNDdRSG5HNWJ5MEI4RjE4Ry1yTDQ2Rk1qYkFEV2o1UGk5dU5uTUlxMy00NDE3RWZDbnJpVzZoUTVOUmZYMG5LXzZMd0R3MlhnQVd3eTNzblJiWnU3TEh4b0dXNWgxV3N4Z1lod19Hd3A4Rk8yUkdIdHJiaWc3LVY0SGs?oc=5
2026-02-09,Flight Centre Travel Group (FCTG) Taps TCS to Help Transform its Enterprise Technology Services - Tata Consultancy Services,Tata Consultancy Services,https://news.google.com/rss/articles/CBMiygFBVV95cUxQS0YwdVJLMkJIczV0V005clpscFVxS3ItZWxWMEFkYmFBeEZTSWg2dG5MYllsSU5XaDlsc1VaenVlQ1FiakdEUVVJVlBXeUFWVmJRQkpQMDgzYUpIdG5VNUFfLWg4NmNRREx2c2tPRlpsbFFYRjBMaWFyRkpSeUZndHZrbkFIQmJldVlnZWlvRjNDbklXSEgzVkw1alZieE5LWE1OdFJtTlAxY2VzZlFDbW51MXI3TnBBZnhvUlRyOW0tbGhfSEEyTU9n?oc=5
2026-02-11,TCS and Honeywell Collaborate to Enhance Autonomous Operations for Buildings and Industries with AI - Tata Consultancy Services,Tata Consultancy Services,https://news.google.com/rss/articles/CBMi5AFBVV95cUxOLVQ0TnEzWW15by1NOFJuMGVsRGxNTWR1TDdVVkNDdDFPcFFmN0xkRmxQRkEwQVVxRHBhRDQzaWUtTVZYWnV5STM4RE9aMWJCdVBXcktuVDZsbXZKTjFnT1pEa2FNZlNUWUlXSWsyMG5NVUNyZGZNQ1J0ZHhIRGljZC1qekIwRW44ampnQ1pHRDZUaEF2Y2NLcklxaFRsNkRHdExPUHpDeGtWZ0FtV044Y0ZhRGlrNmpRV1JJNjItQXhHUjJZYld3RW9aOVB6SDBvS01vN0tKVkhhR2V3eFZGZ1NPT2U?oc=5
2026-07-09,"TCS Q1 FY27 results: Tata Consultancy Services reports 5% y-o-y increase in net profit to Rs 13,349 crore - The Times of India",The Times of India,https://news.google.com/rss/articles/CBMimgJBVV95cUxNSU9rU1R0VTdfTFhleGIzNFNSQnRjb3RQYnVkZWVMUE1jRzZEdFdOTUhHN0ZKUFo4UGgxeHl0VFZkOUt2QTN1QWRwVGg4a0Q1b3R0RGRnVEVybjRtQVN5cmpZUFdqTGswbXZ0VGwta1kxa3pVU05ScGFYMlg1bS1PUFVoTkhydG9jWVV4ZEdTeHBsNWtnOWdudjZzdTBQY3Y0M1hYanA2YTlaQlJfek8wN3o1bS1FNDlLU1BvR084VkJRVEpxLWItS3VsVGIwLUtGcmtxZWI4Mkpyb2k0bVQ3YmpkSUpQeGVFX0xkN0d4QkxscGZaYmxjYjhDamc0bkJfc01YOVdnM2FkQm5MWVV5UnNZMG5pR2lKaFHSAZ8CQVVfeXFMUEp3SktQZXZDMkVUeDJ6WjBYNVZpNEhqRG9pZklSR1JGOUtHZHFWdXEzSFY2VC1BTkotSHNRWGVUWE96Q01FZHhoUmkwSklETHVOb05iekxVY3piRVJVM0tUNVM5bjR4aEd6T2liUzZWZ2tqNFhnLTByeU5UQjNnRjlMMm9vRlFBZDkzcl9mRkYxNTdLMXhJS3NFOFlQV3JyN09WdUFZbjNOWUJGdGl5dmlOVHE4YkNWdmE0UXEwZUhHQ29TLXRyMFNWTWNOMHBXSnB1a0EzZmExNHlpVnNzakhJeG1QNHhCcnlDTXZNSVd0V1FMQm5iTUF1dTByVDB3MHhQbHhvOWZIbzdOd2o0SXBGN2owalZHSVNaV21KYzQ?oc=5
2026-08-05,TCS and Infosys think they can profit from AI paranoia - The Ken,The Ken,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPZkxwcXhDSVdhQVpNRUkzRjVEVktTZUVfUDBySUN1VDdnVnhMWVJEay1CX2RDa0dYcVZnMEZmQ0UzM3FaNVRQMFA3a0tGdG5UMm1DZ0lZSkhaOUVUR05hWmxHSHhWUkpFd3VwaE9XSVNFcFc2UzVlYk4td3pHRkJqRldxUlo0T3VZ?oc=5
2026-07-10,Tata Consultancy’s AI push uses a blurry yardstick - Breakingviews,Breakingviews,https://news.google.com/rss/articles/CBMisAFBVV95cUxQLV9SY0dSX2wtd2JHcnQwYXFsaml1RW9pOUJpY0JORlNQNHRnRkJjQ0lmS0xyUzZZRjlra0Z1NFpGaGsybmwtYUc0LUxYTFNaN1p5X05TUkhsenh4SmxVZ3hpb09WSThrZ3NsN1U3dzRzSElHcl9mTjhNU1ZrdkpzZHBUak9nbE1lNEE1YUtvZ2lQQVRWSVJtR01IVmhDVDYzUTl4dkpMUk5NOXV1eTZERA?oc=5
2026-07-13,"TCS Overhauls Leadership, Creates 5 New Business Units Amid AI Disruption - ndtv.com",ndtv.com,https://news.google.com/rss/articles/CBMitwFBVV95cUxPLVlxYW9BVjB1SlZqa0JUS2xham9JaUhTN0ZMV21qajk5UW1WNUp0eG5LU1NoWGhBMnhBSFF4RWlpeWpoWFlUdUhlUkUtaW84bThHMkFOUU43TENWNlN3cGJKRnlrSGFxMHdEYzVUWlVIcDN1U21CMV9fTGdRb2NNaE5yUDlacVRfYVNnVDFrZGIweS1hdDl1TTlSTDIycXZRVzl6d1FqSjRLWkpqN0dZVk1NOWVDcnfSAb8BQVVfeXFMTW1WMEdBWWI3MkxLSTFsM1l4SEVmVm04NU13OXJHNjBlcGp6eUZZYkRaQkxxUEo2U2t2YW55d1ZYbWEyNWdPLXRqaVNMOEtRTXBQT0dtaldfYUN4dXV1MzZ0di16UWp0aTZ2akNDZGhRMzdadEFpRU02T0ZoMmZnYmtsMnNRSjRpcVFMd0Q3SVp2UmkzRmNpMDIwMHpjZFB0aEFnUkpKS0V4SU1EZ3ZMRS0xLXg5VG10SGptZ09iVnc?oc=5
2026-08-12,Tata Group stocks fall; TCS tumbles nearly 6% - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMi8wFBVV95cUxQXzVRRUIxb3lON3BsODF0dkVoMVp4MDM3T052VnJIRmpXVDJNSkVfTVJRZ1gzVjRuTDM1eEZqdzl4anRpRUpEZjdhbXR1Zzk0eWN1SzkwWHVjc0JOQm1DeVRJZHVhTFlrM19pSzZNdnRsTXAyRXF3VkVfMEdXcDY3ODZiYmNHeDNja0M2MUFfbWo1NVg4TkdWZjBlNmV5LWN6dzd4alNvdlI5UjJFQ2RSeF9ITEstbE53aExOZTdDdTVpcEpzYjRValMxTEJYUk5zUlNRZG9Dcm9uUXRSMFBoXzVCTkxMa0dCNDRpQW1uNWpRM2vSAfoBQVVfeXFMT3pCaElqbTd4NmVMSUM3SmZtQVAxQ1dydkpkSFpqV0p2NlhzenVEVWptSlQ5a1NHZDFoRXY1NHZWR29Wa1BkWDdPZ1hzWHFSaVVXZ3dqNXRBM2FVSFF5SmNlUVE5c3E4bWhNTXlDZXJWWWw3UkFtTGFobjJWRnpVQVdrR1pyWHRnR1BJUklmNGRsQmhOV1Q4bHdnTTFmZFFfVmRNS3dwOXU4VVhPNzU4TEJMNUlHd2tZN0s0ZFlaLVk0dnFqRVgzNlBJT0dONHBlU3F4VjJnY2tYMExoOGh3UWZBcF8zSmRDdnFlTUNMVzAzaTRSVGtOOVMtdw?oc=5
2026-08-30,TCS to Microsoft: Techie reveals 4 major differences in work culture - indianexpress.com,indianexpress.com,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPY2pXckhCbWdKSzhZa29WNnRTSFNzMFluMjYySi1fNDYtSGt0a2lMcDlDY3dxMEN6NWpmcG5yUlNERnBLSWJjaFRySzJmblVHRHc3TWtKTEItaXEwM1NPY20tbEUzWUZzdmljaXZkNG9PVXozbjVMOE5EOUE0M01PZ1NwRGVNa3o3V0xkem16VHBBalVYMUwtZ0VuZ3ZPQ0tGc1FUZGRGU2YxRWZlSFhWX1NES2VqQU5KUnROeVRmTjRka1NVU2dKZVhDV2ttSW1iQ3cwVtIB2wFBVV95cUxQRmVOS2RMdTJhYzBTNWdHMzExcUF1LWN5QUJBWkJmbEFQdVRsOGZNRDdEXzFRaTNLb2I1MVZ2WTc3bUFmQmgzRWFIdWZfNy1OVXJHWXlXdUZMS3otMkJoNWRyald5U1ktTTFxUWhSMVJqQ1BDU2c5SjhOMFRYRTR0cG1DNkhtZDY4WWZuVXdqQ0VHSGJaNUMyYXdQekRiWHBIeVJqcUl1dHlwX1RNZ3hiSDVTbTFfRUdmcjN5ZFMwak85eVlCaXNzM2pFQ2dfRHhfSHUxbWVvT0hMUGM?oc=5
2026-07-10,"India's TCS up as AI momentum fuels revenue beat; sector recovery gradual, analysts say - Reuters",Reuters,https://news.google.com/rss/articles/CBMimAFBVV95cUxNeUZaR2lrcnhON0JXRlZORmFxRlpwa29IZjRMNUk4S0NES19tR0piMndDTkRGMVRnT2hTUjFTMEJrcUEyaDVFODRPX2dDdU5fRHFMcV9CQ3hZNUQ5b09mSG1QRGxiMXl4LWVIOWNXT2lFb3ZZRnJaajR4OW4wbUQ1TGo0cXZKVnIzbXA2Y3VLOGRxdWw2ZVRjeA?oc=5
2026-04-23,PixerLens and Tata Consultancy Services Partner to Deliver AI-Powered Application Intelligence on TCS SovereignSecure™ Cloud - prnewswire.com,prnewswire.com,https://news.google.com/rss/articles/CBMijwJBVV95cUxQUU1IckQxM1p6eEhtSTRLUnFnYm5rZHBkZ1REdi1rX3Z4NGlxVjliZS05OTZXMWd4R0YxUHBNR0RLWUNWbHZZMFZQN2dReWtxTWc1VmtORWFOZkZvMGZjQlNUNWNLbnBDYjMyUFZMdTVfYWxSQ2hMdmc2X1NaU1pqTENxNWhpb3dHc3djLUhCeDgwRnR4WTU3MFRGS2pBZVp5eHVYbjdqbzBFZVJ3bXMyV21IR3VYdUFEX3hCXzZDU1VDMHdvcVZSNTJoVmlGMUY4d0R6VldhbDk1dU9Bc2pVSm1QNzZlYXBxX21YLVJKSmhlMlV2QmYtc3M0SkZQa1JOeVZUeVpiM1FQNmtWcFJV?oc=5
2026-07-09,TCS AI business touches $2.6 billion run rate - Forbes India,Forbes India,https://news.google.com/rss/articles/CBMimwFBVV95cUxOb2NrNzFiYjZvSFlFNEpCb0JIX1cybDhKa2tmaTRVTnBNWGlGWmthQ1J6Rk9EYlVZUXlxb3hWN1VPUjQ3bTRoN2p6U1FfY1MyNkQ4aURVZnFzTFh0NG1qQ2I3VlZTQVhyelBsZVU2MTVGQlFsZkVaRlZkUXRPQ1Jobk93VUdxdUoydmtjUzBQY3BaeDFCYmRaSldXZ9IBoAFBVV95cUxORjBpX2FUOU5kclVwUmoyN0lNZDFOcHAyTTJQMWtnRlppUGk4cnprVlVMQlVUWjVZeUZ0enpfOThMekdjTHRmdWtjTlNkTlgxV1ZjLVNCeG9GTEw0Yi0wclk5SWVoVVk3SU5ucHhuZXBmbGszUlhTaTVJZUtsRkVqZGZNaFRRbUtYNlRTRGpWOXpGVUphVV9HOTREU0tRTVNw?oc=5
2026-08-31,"TCS, Engineers India, SAIL among top stocks to buy; check price targets, upside potential & more - businesstoday.in",businesstoday.in,https://news.google.com/rss/articles/CBMi7wFBVV95cUxOa0FIa3dzNVJsYlVFaGFlaEpNWGNaUTZpNkZxUFRFOFQ1ZzBMT1FiNWd2bjlwRUtZWFlJUGVLb3pWd2FETlJIZXY1bjd3d0oyT3BwdVBOb0QxUS01OXNiSGREbzFSc0Q0R2FTQlhSQTNvOEFTZjhaX1lKQXdscHJCaG1oSmVFZllISDNfVnVKMzBLT1NXNDRTbGZFZzF2eTdwQWNTenRXODB4R09hT2d0aU5NRkxfN3M2XzNOOXByWV9wWXJDWUpVV05vSjJlZjY0WmtEN25HZ3diR3Vqa2RNdEpEc0pQYWU3UWloRVJuY9IB9AFBVV95cUxQZjBZOUx4TE9MT0NOS1ZMcWVYUG1uVUN5MzlNMzNuQmo2T0JRa3dYMldaOGNQRFhFUmxlcjlMeXI0ZWdmSlVvVHh1VVBXM085eFl3NUtEM0lmS1lGeW1QNXhHS1M1QjU1dTQ0blpNWk1ZQlJPdXhEa0JPdU52U3ZwQWRVaHl1Ul9sMlFxc3dfOEZrMFlPREZfMEJIMndqTG5vSnVNcVMzZlpTWl9Gam5ha0UzRVBxVXFKajJEQ3paWjhrdlZDNUZBaGZQS25fTFhzY2h1RzBLYzdIMFdFdkwwcTlyLTFQaEs4U0NYcE1xeDE1U1pp?oc=5
2026-08-15,N Chandrasekaran: A Turn of the Tata Page - Open Magazine,Open Magazine,https://news.google.com/rss/articles/CBMigwFBVV95cUxQc0JYdEk1MXRja1JrNnU3emlFR2Q4X0FlZHZOY2V1dFp2cmFSVGlWNDUzUHp1ZEN5MFlpcTBZYnVBZDZoeU0yYm1yYTR5SzVic09KcmlRUDRHdkFYZjUyQTVud3NTNGt6dC1EbUNuWWtWVXYyVUotOGpfd24ydEtSY2NMSQ?oc=5
